Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,0.157559396,-0.627220254,-0.036081262,0.389456356,-0.799380642,-0.595097049,1.052462143,-0.236855391,0.288869403,-1.170168081
1,0.796317624,0.276377407,-0.659420999,0.654802436,0.076727039,0.185033497,-0.510910407,-0.432664844,-0.524249375,-0.58890099
0,-0.971157467,0.133508113,1.10321157,0.103904574,-0.51970197,-0.125872816,-0.412615779,-0.006900515,0.054025266,-0.765381622
0,-0.577684808,0.696064528,0.342486825,-0.111755514,-0.763835205,-0.114938139,0.311476879,0.27738969,0.393763602,-1.232269678
0,-0.500140566,-0.710489698,0.478855231,0.090603853,-0.368705013,1.252411615,0.080597719,-0.831369935,-0.288989286,-0.335627853
0,0.034372637,1.06241373,0.148557608,0.377373365,-0.101408415,0.226793751,-0.64380082,-0.196910167,-0.398265861,-0.186371872
0,-0.743251746,1.14142259,0.786876117,0.802920195,-0.390557283,1.4476499,0.289523404,-0.691025273,0.374414848,-1.224440606
0,-0.652261247,0.570995723,0.835507267,0.497628373,-0.383960977,0.397455033,0.193073395,0.077644013,0.143616341,0.1535176
1,2.416805373,0.304638238,-2.165416646,0.257335496,1.951873535,-0.494797892,-0.167812359,2.469293003,-0.971217078,0.672829642
0,-0.46097049,-0.923255741,0.364430765,-0.658301066,-0.161899473,-0.188052682,0.668459024,-0.336219014,0.45633911,-0.425779428
0,0.423533262,0.093912212,-0.403033979,-0.545173449,-0.568833531,-0.177113999,-0.390337341,-0.085030775,-0.501124983,-0.992744237
0,0.491661431,0.318250531,-0.662787694,-0.752505317,0.400630897,-1.189173407,-0.117406203,-0.39392834,-1.181678264,0.87922635
1,-0.090388004,1.815785342,-0.468265688,0.397316634,-0.510891336,-0.073597042,-0.629266829,1.032461659,-0.802345726,-0.175041836
0,-0.612102467,-0.469447892,0.738024072,0.404148478,-0.131093448,0.912371557,-0.041747477,-0.304651942,0.492430903,-1.077500789
0,-0.719229138,-1.219374778,0.330068115,-0.303250069,-0.006581726,-0.455896434,1.00923514,-0.351663867,-0.072697455,1.134472953
0,-0.823822808,-0.780328779,0.454698976,-1.561218445,-0.323391896,0.511478411,0.880592671,-0.476128822,1.035185755,0.644643701
1,0.884794981,-0.724252437,-0.805132012,0.257978432,0.68616916,-1.251857931,0.573314685,1.042882602,-0.222427602,1.059848876
0,0.364550167,0.502127679,-0.199822033,-0.002555318,0.039288143,-0.320347514,-0.51142395,-0.246344657,-0.835668475,-0.085025587
1,2.239444046,-0.258472473,-1.436732275,0.598094134,3.561593253,-1.631931275,0.527822222,3.350369046,-0.152395979,4.304122552
0,-0.048747955,-2.547796927,-1.060110376,-0.785289308,0.130142402,-2.305989993,0.943176268,-1.872882491,2.593817238,0.760740935
1,1.003415449,0.953790798,-0.813162678,-0.0390683,0.831120764,-0.124505481,-1.621627306,-0.573472931,-0.871770043,0.288000494
0,0.093921051,0.132438113,0.007634719,-0.496270382,-0.520349656,-0.808988588,-0.413000583,-0.631601956,-0.841458638,-0.107503543
1,1.618549199,0.784592065,-1.674289639,0.135381006,0.441131559,-0.879806346,-1.062363514,-0.007642961,-1.431193718,0.34117015
0,-1.074726862,0.209862067,1.017790499,-0.755778068,-0.090700858,1.497961813,0.436886385,-0.768842614,0.558857134,0.168426048
0,-1.28139718,0.230300061,1.254590482,-0.030961514,-0.09412303,1.01621673,-0.304914958,-0.446907648,0.682651714,-0.057513165
0,-0.333262039,-0.211149106,0.492812952,-1.447792648,0.224004678,0.478111593,0.605605029,-0.370336827,1.547534174,-0.671919134
0,0.809485479,0.814016599,-0.656462777,0.233084377,0.238648683,-0.265695552,-0.126962839,-0.385667642,-0.332006968,0.65923374
0,-0.730408652,-0.43254928,0.770330183,-0.621340671,-0.484728463,-0.12208031,-0.544946248,-0.503738321,-0.165840709,-0.75624335
0,-0.567556373,1.276167442,0.655455963,-0.107081032,-0.074701315,0.342098412,-2.279624755,-0.527786729,-1.065071232,0.014671521
1,2.17919937,0.571845956,-1.894053252,0.22583319,1.594250743,-1.172556856,0.195016789,1.943132953,-0.989810602,0.447186364
0,-0.524568473,-0.648322039,0.200221735,0.606650699,-0.998204442,-1.723658876,2.330355676,-1.808418986,0.462214763,-1.994338826
0,-0.03859008,0.196130549,0.259111953,-0.114778543,-0.09244936,-0.355785316,0.548465708,-0.782942631,-0.625968334,-0.61447401
1,1.577766888,-0.377214588,-1.113719147,0.749663991,1.050233861,-0.287622487,0.382059225,1.72824398,0.869621122,1.039590503
0,-0.61305286,-0.650727046,0.596303629,-2.189553309,-0.618737641,-0.11470798,0.713628999,-0.291444056,0.195936609,0.826772413
1,-0.187530982,-0.758973936,-0.025682315,2.13808721,-0.147556673,-0.848325851,1.03803305,0.035941109,-0.397630903,-0.151717363
1,1.958012507,0.153103023,-1.905182008,0.728627772,2.637198299,-2.864259729,-0.6062304,3.117574788,-0.957554285,-0.274677966
0,-0.852367948,-0.702278485,0.774658524,-2.721154283,-0.741895535,-0.25052644,0.139338605,-0.566903485,0.720522424,-0.914081825
1,-0.958764433,-2.729368127,0.818990404,0.506698282,-1.295646021,0.687137516,1.565044521,0.202283579,1.433134821,-1.503074076
0,0.290636209,0.450519954,-0.086960604,-0.20313915,-0.293946119,-0.756245531,-0.768448844,-0.93755806,-1.165241725,0.628485333
1,2.244451616,0.674756416,-1.531385705,0.245839099,4.976371029,0.284893225,0.79916214,2.680062292,-0.729241614,1.877783178
0,0.27142738,-0.150711495,-0.372026709,0.02917665,-0.319011778,-0.717002978,-0.480668322,-0.278069225,-0.189363184,-1.850800442
0,-0.318608622,0.998395294,0.339949608,0.296734632,-0.613969855,0.658379577,-0.596185755,-0.806537431,0.058355345,-1.37193514
0,-0.104985829,-0.698099933,0.145418449,0.225041278,-0.056188988,0.10030597,1.103275067,-0.210163528,0.0966961,1.205135249
0,-0.787217946,1.04148174,0.872433697,0.382114782,-0.137489236,0.701304371,-0.981224733,-0.648311005,-0.460298765,-0.806483373
1,-0.400034299,0.641792163,0.459310403,0.185883833,0.551652724,0.036156883,-0.853075711,0.557188454,-1.001736776,2.061857564
1,2.101295774,0.624157566,-1.713685157,-0.062041665,2.451097503,-2.14965616,0.335116379,2.436817785,-1.650644606,1.964004428
0,-0.814430323,-1.603740741,0.574724559,-0.766161676,-1.396910006,-0.815802307,0.982750986,-0.068568837,0.961004207,-0.566186572
1,-0.518821912,1.004339513,0.3941651,0.334117262,0.04790307,0.838069307,0.761339275,-0.899009488,1.374409808,-0.450200743
0,-0.76882091,0.628258356,0.375664667,0.589975804,-0.912510076,-0.687069158,0.513408598,0.083325043,0.101011548,-1.670059766
1,0.484956093,0.571594133,-0.353774717,-0.140897014,-1.258443906,-0.042007006,0.061411969,1.194561107,-0.463148921,-1.837902506
1,2.578828169,0.556191731,-2.707960419,-0.199652093,2.066489674,-0.622875095,-0.444459416,1.333025698,-1.171108489,1.069672319
0,-1.190239463,-0.015146295,1.0641039,-0.655727955,-0.597038953,0.710319338,0.705726611,-0.632995551,1.009484425,-0.927494106
0,-1.571555561,-2.008650336,1.333092124,0.03522975,-1.263164909,1.107090237,1.870720844,-0.581492954,1.284487153,0.265459984
1,1.938838396,0.605772664,-2.239935062,-0.201695582,0.41632892,-0.376874882,-1.273878211,0.27536333,-1.415341974,0.388064756
1,-0.308744344,0.377459888,0.439351767,-0.540480035,0.116013453,-0.063003454,-0.840651866,-0.840683032,-0.750037015,-0.78824489
0,-1.392302998,1.11546902,1.244995441,0.28351945,-0.16140581,0.065058846,0.971771154,-0.201670329,-0.105839136,1.88845586
1,-0.377313542,0.55882878,0.462855705,-0.100957144,0.401850172,-0.747606901,-0.50415068,-0.094279924,-0.633216937,0.448982902
0,-1.177070075,-0.533263916,1.083658154,-0.637718974,0.044565648,2.868670416,0.323695998,-0.181736796,1.789235603,-0.236192319
1,2.554595614,0.653302108,-2.552716737,-0.215011937,4.487454531,-0.50129277,-0.01085692,3.292655392,-1.502741426,1.593269341
0,-0.678924843,1.117610508,1.02754691,0.986095623,0.106146359,2.034266678,1.006789928,0.180495832,0.87471082,0.12683267
1,-0.079387714,0.501639901,0.22560841,-0.870216346,0.406927287,-0.224482584,-0.97910249,-0.047482454,0.515902615,1.414716745
0,0.542524549,-1.424454419,-2.049451934,0.055616372,-0.931528017,-0.26780159,0.524231796,1.53065264,-0.264856708,-0.311901756
0,-0.984048977,0.669204553,0.854040297,-0.728880124,0.192951061,0.565232997,-0.064458852,-1.09103446,-0.050380173,0.880082564
1,1.056013173,-0.879795693,-0.864963581,-0.149675455,0.523282855,-0.925941038,0.032558303,0.672396057,-0.267865277,1.968919122
0,-0.693392843,-0.106291585,0.742957305,-0.10559633,0.479053172,-0.055215519,0.806532876,-1.136334117,-0.236779368,0.322735443
0,-0.56331454,-1.524660164,0.832240123,-0.00429396,-1.500328578,1.290611892,1.4095505,-0.509949445,1.92642485,-0.975959382
0,-1.080023809,-0.204258625,1.02598099,-0.509620745,-0.608963556,0.323694227,-0.005503302,-0.554282492,0.441531289,-1.359621848
0,-0.717943063,-0.515363242,0.616809264,0.870927116,-1.119321674,-0.262790359,0.78908266,-0.084720244,0.801083821,-0.28635242
1,1.181682543,-0.079782543,-1.005498058,0.33700871,1.605477007,-0.988321125,0.361829545,0.6701341,-0.376351944,0.751768306
0,-0.76269263,0.115318502,0.86684347,0.797316878,-0.75613058,1.30222176,-0.211243689,-0.27059404,-0.394943041,-0.679580973
1,0.876999332,0.975260647,-0.712606215,0.178507389,0.132277991,-0.45519946,-0.962024683,-0.288681988,-1.049880251,0.748025121
0,-0.442980464,-0.645035343,0.448172353,0.047117333,-0.111310191,1.103452803,0.381733947,-0.037918291,0.282873831,0.902875204
0,-0.656263307,0.105523682,-0.104393002,-9.041101381,-2.3068079,-1.084377559,1.590533662,0.560931202,5.220897522,-1.389369547
0,-0.896555627,0.724549501,0.967996803,-0.25052263,-0.419051664,0.693938953,0.662105438,-0.562106276,0.538250669,-0.149417533
1,1.874633933,0.56587993,-1.793336099,0.77267904,1.274045303,-2.152672879,-0.53140621,3.472785995,-0.605138254,0.249469003
1,0.566901988,0.283354506,-0.232716897,-0.033602772,0.216047163,0.018396141,-0.529546617,-0.401185169,-0.24016428,0.30371358
0,-0.59084123,-0.531962447,0.163991968,-0.058481239,-0.22915535,0.56715473,0.678444245,1.095766365,-0.518422883,0.126882798
0,-0.845699403,-1.352880112,0.720179958,-0.971492273,-0.81433986,1.249999775,0.67321454,-0.280796564,0.299658581,-1.278835928
