Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
1,0.288319912,-0.395823057,-0.757064807,-0.119007655,-0.775783973,-0.04979452,0.487398382,-0.179245934,2.330031374,-0.305147748
1,0.316986694,-0.151418433,0.786400259,-0.672200953,-0.152063214,-0.321922937,0.637390617,0.596384284,0.352807433,-0.369198276
1,-1.138378976,0.700447563,-1.256970745,-0.248341118,-0.397594197,2.638577018,-0.699315906,-0.44343764,-0.374090157,3.042393634
0,0.328582511,-0.511259937,0.706698487,0.120463173,1.096297814,0.24178303,-0.016385209,0.27124257,-1.115254987,-0.801212348
1,-0.002363542,0.103150755,-0.587728935,-1.121684215,-0.73031036,0.110981817,-0.24696022,-1.151288718,0.766772439,-0.001826131
0,0.076497645,-0.158785615,0.532171284,-1.799598378,-0.217729228,0.054575686,-0.208441831,-0.467857924,1.097954555,-0.244404112
0,0.181185592,0.079152888,-0.889372414,-1.745462918,-0.640720829,0.385659767,1.282993299,0.561939533,1.250733162,-0.531254819
0,0.092600272,-0.22285498,1.182282735,-0.253142632,0.948622466,0.051635526,0.016132333,3.342072562,-1.313707179,-0.32057991
1,0.093184269,-0.242477679,0.723714137,0.230150502,-0.347253434,-0.741924523,-0.596896795,-0.597333308,-0.237215373,0.066013021
0,0.335804351,-0.49738247,0.30448303,1.284041216,1.359494689,-0.630268127,0.222711938,-0.125980033,0.592664809,-0.290529065
0,0.058444805,0.169992986,-0.113596083,-0.948014306,-0.687204763,-0.547677481,0.257586038,0.318829042,0.456345072,-0.194685643
0,0.331740351,-0.541240534,0.190805639,1.124220527,0.618612575,0.825431199,0.289375534,0.402282864,-0.998610017,0.218769313
0,-0.039614922,-0.001700168,-0.976906027,-0.83747857,-1.061363045,-0.417017869,1.213391227,-0.149056407,0.707502011,-0.289224278
1,-0.195734072,1.118536057,-1.940945836,0.072187687,-0.368266544,0.974561701,-0.444539681,-0.638276252,1.01860342,0.750992203
0,0.331037797,-0.525074557,0.830412927,0.531961575,0.598616438,-1.182591719,-0.192186528,-0.186981546,-0.126850569,-0.993964365
0,0.092366246,-0.290909778,0.662024365,0.716520954,0.73860518,-0.984391439,-1.687971454,0.670791209,-1.079870376,0.489480687
0,0.331284145,-0.496109128,0.488265203,1.876242936,0.222899762,-0.836694657,-1.262175973,-0.528066246,0.012263241,-1.005724375
0,0.08636919,0.523260302,-0.000621966,-4.848655156,-1.392353048,-0.719211732,-1.621449734,-0.595701495,0.471907102,1.186043113
1,0.090328414,0.201030508,0.186619657,0.148695379,-0.671224383,-0.269876887,-0.551172155,0.265643531,0.011199064,-0.167140255
0,0.092607318,-0.246236031,-0.453103108,0.147033668,0.11225575,-1.187156035,-1.221288507,1.193704083,-1.559648185,0.756304596
0,0.092580577,-0.313008184,0.847557965,1.094024234,0.33926306,-0.037197162,0.578539632,0.32796004,0.020282595,-1.24399142
1,-0.389508132,3.572566365,-2.750243593,-0.595786741,-1.482590116,1.320913305,-0.502933787,-0.154699854,0.815658655,0.465396667
0,0.005788136,-0.014916834,-0.639686728,-0.575704823,-1.339150533,-0.442718246,0.203291923,-1.281637929,1.449680636,-0.092700116
1,0.080973362,-0.19038866,0.002041584,-0.206931617,-0.184062526,-0.120600054,0.161189417,-0.376953572,0.353716881,-0.321997003
0,0.331110562,-0.541648702,0.77548005,1.26715392,1.194457294,-0.119163207,0.522889988,-0.393154295,-0.631126181,-0.23767252
1,0.163387041,-0.137955355,-1.231592426,-0.054573689,-0.917158292,1.796984029,-1.517776722,-1.306930179,1.061766966,1.349577994
0,0.329915314,-0.543740885,1.120226719,0.255729121,0.589119758,0.720648188,1.347375309,2.279887783,-1.33819698,0.038829618
1,0.331614427,-0.45604342,0.970332432,-0.4770656,0.088703363,0.107339665,2.152922276,2.374190702,-1.065730556,-0.228255823
1,-1.049892138,0.854967052,-1.462597816,-0.325107929,0.198734729,2.487662873,-1.184606168,-0.570561557,-0.052039948,1.114684974
0,0.088067734,-0.311458903,0.022362806,0.669093721,0.330370389,0.757121826,0.326465375,-0.577863277,0.638231948,-0.192545863
1,0.261549223,-0.248046486,-0.733032177,-0.651355202,-0.442360764,0.21730339,-0.149897554,0.181788009,0.846928877,-0.494707201
0,0.092638982,-0.221131105,1.134319668,0.99025809,0.067236119,0.061895168,-0.536889925,-0.114686611,-0.308616983,0.017966844
0,0.330275129,-0.469112389,0.300846838,-0.427659838,0.327165761,-0.2043168,0.407315003,-0.123185685,-0.794164486,0.281498674
0,0.089433103,-0.189523221,0.524944013,-0.026020392,-0.317099145,0.202490807,-0.073168152,1.245833888,-0.843530747,-0.736795536
0,0.078599011,-0.176645968,0.202571487,-0.275605416,-0.439539552,-0.186015291,0.309235657,0.233434636,0.31798185,-0.155977918
0,0.09321196,-0.273775063,0.825574306,0.304132277,0.426220932,-0.147888124,1.847783418,1.438555857,0.286784852,-0.6083167
0,0.331002202,-0.487960633,0.809599716,0.656386701,0.117479234,0.17780691,-0.402016202,0.397751697,-1.343269735,0.063143941
