Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.963548044,0.643412242,0.828724141,-0.39700351,0.191700065,0.568327376,-0.069956246,-1.214412996,-0.045138797,0.884657587
0,-0.987296396,0.317005463,0.865568465,-0.092030588,-0.398675772,2.249958643,-0.314512426,-0.275699885,0.175108745,-0.684043491
1,-0.157275267,1.91246392,-0.399451872,0.482658198,-0.426214273,-0.06308459,-0.578079925,0.969453278,-0.892296266,-0.164589489
1,-0.011847654,0.491236634,0.180238796,-0.476324207,0.431628951,-0.234556796,-1.062393989,-0.073639776,0.429549074,1.425547086
1,-0.413429289,0.091863765,0.34850733,0.386685343,-0.701701934,-0.352216374,-0.365565203,-0.419149972,-0.393260368,0.175512695
0,-0.696719336,-0.35715713,0.742342811,-0.336650232,-0.568173574,-0.130446953,-0.59131102,-0.572402149,-0.141923862,-0.77081364
0,-0.865094017,1.515426487,0.920862922,0.05038363,-0.265420302,-0.054411682,-1.208744604,-0.24898253,-0.692244592,0.146794515
1,1.929037044,0.069414104,-2.001465396,-0.190151047,0.402170503,-1.350385773,-0.52121674,2.857483807,-0.958506165,-1.127462324
1,0.699484855,0.726529667,-0.37249943,-0.541480191,-0.38485419,-0.572822398,0.06382392,0.104853989,-0.004302858,-0.915870397
0,-0.037595035,1.103214532,0.202571487,0.457549692,-0.063329729,0.233434636,-0.591497131,-0.155977918,-0.439539552,-0.175822497
0,-0.489265499,0.236354871,0.564457507,-0.249994744,-0.126436379,0.348872689,0.64376551,-0.636012137,-0.136903957,0.701367125
0,-1.177342085,-0.602251982,1.182282735,-0.286369802,0.02739222,3.342072562,0.409445074,-0.32057991,0.948622466,1.310366107
0,-0.773407771,-0.464254136,0.67877567,0.786984835,0.612979526,-0.24689968,0.64512013,-0.459587498,0.132853772,1.04624118
0,-0.524484029,0.647668561,0.727069027,0.204637586,0.18573395,1.519977585,-0.706093997,-0.508969641,0.192746475,-0.959500854
0,-0.573775365,-0.734406971,0.252995995,0.746209057,-0.858072076,-1.691879705,2.154126653,-1.631237281,0.524597526,-1.968306323
0,0.116746392,0.890841207,0.096388513,-0.108423678,0.174431277,-1.272888914,-0.041084108,-0.228862705,-0.713484807,1.632620087
0,-0.573261465,-0.555297571,0.562763015,-1.216762331,-0.718436402,-0.122951688,0.774311093,-0.340329755,0.161336821,0.830723698
0,0.420388164,-1.22446073,-0.383995176,-0.208579617,-0.117220616,-0.675143977,0.383257693,-0.454709321,-0.435012229,0.165067289
1,0.41046132,0.16217303,-0.094255618,0.124431984,-0.10404052,0.207696371,-1.274332318,-0.672721498,-0.58988867,0.500619612
1,0.794235373,0.236871034,-0.491669649,0.068452705,-0.733558576,0.124436477,0.503833471,0.566073084,0.064311347,-1.164387656
0,0.517223401,0.12095443,-0.468463768,-0.293903673,-0.662479542,-0.186398334,-0.423552006,-0.114686239,-0.422976689,-1.01008163
0,-0.74080621,1.043693424,0.794944598,-0.060317017,-0.096551638,-0.012882495,-1.785442109,-0.716889929,-0.471916909,-1.082833422
0,0.288323278,0.00681898,-0.007977014,-0.476029978,0.271922581,-0.517411795,0.025821923,0.198258987,-0.551667637,0.098646653
0,1.307496977,0.917010186,-0.889372414,0.172135123,0.66453788,0.561939533,-1.431693476,-0.531254819,-0.640720829,-0.529527485
1,-0.983516555,0.352063027,1.118055047,0.409902818,0.002428726,1.430725036,0.664689809,-0.576157882,0.499317964,0.484101992
0,-0.753954869,-0.374815666,0.730865563,-0.128292099,-0.791165191,2.29078311,1.295592063,0.041555367,1.6179234,-1.482331214
0,0.03683645,-0.345818751,0.036271552,0.809823018,-0.56125132,1.926678678,-0.363251458,0.981972961,1.522108608,0.588592051
0,-0.272008518,-0.480499886,0.316603208,0.13336708,-0.86749008,-0.506581151,-0.03993016,-0.342922871,-0.787564846,-0.974187945
1,-0.575088983,1.20104097,0.657759576,-0.118377749,0.348479405,-0.29478504,-0.378494663,-0.280749157,-1.027783228,-0.315046249
0,-0.59586366,1.498434948,0.846767933,0.088387486,-0.331603612,0.697956955,0.551616301,0.011963809,0.560017132,0.009281579
1,-0.12008399,-0.36575586,-0.979821516,0.163302948,0.303855091,-0.324449368,0.239862866,0.972993924,-0.67613246,-0.332689935
0,-0.826000848,0.502543895,0.926478752,0.565788229,0.178638258,-0.194283303,0.194633478,-0.536873196,-0.50757289,0.717183281
0,-0.763773733,1.404478017,0.820176442,0.372481976,-0.750537477,1.49959857,-0.514057179,-0.035939881,0.423739379,-1.662685202
1,1.482071878,0.804786759,-1.57653872,0.152882154,0.417470229,-0.858903116,-0.977897675,0.01728717,-1.596897449,0.347201744
1,1.314793714,-0.036788295,-1.090152663,0.201194487,1.775547875,-1.011132425,0.392589686,0.710832624,-0.318385397,0.754842029
0,-0.751022333,-0.435623852,0.805905834,-0.729186815,-0.719738981,0.137410451,1.027116113,-0.733240193,1.816626111,-1.123897011
0,0.455173398,0.491679615,-0.258767265,0.010624406,0.019399742,-0.332020283,-0.554937516,-0.291028727,-0.703408553,-0.091742506
0,-0.338206743,0.104072638,0.562290281,-0.022027257,-0.34899452,0.677782555,-1.5915602,-0.433142543,0.055635759,-0.198037197
0,1.572215871,-0.158366236,-1.533533519,0.099064619,0.088023734,-1.68265784,0.060369231,0.863996953,-1.114385045,1.026795368
0,1.316963095,-0.402385045,-0.976906027,0.223347644,0.132649864,-0.149056407,-0.295950076,-0.289224278,-1.061363045,-0.646994641
1,-0.656473847,0.302674186,0.48255808,0.579342014,0.781732343,-0.893858421,-0.059741238,-0.03395038,-0.616563017,3.296962719
1,1.057959886,0.821168556,-0.772140817,-0.107658939,0.53834338,0.04155967,-1.764353481,-0.473975531,-0.761684185,-0.927221492
0,-0.735724996,-0.152173972,0.782709274,-0.150507473,0.451076435,-0.044939976,0.747393642,-1.01597568,-0.258599841,0.328924908
1,1.113431409,-0.12020632,-0.84507699,-0.484285141,0.296850805,-0.643558619,-0.244058752,-0.62160496,-0.729974243,-1.003423617
1,0.142574908,-1.612885249,-0.216331954,0.055279173,-0.7268177,-0.033762118,-4.680814606,-0.835330934,-1.157435352,2.525259341
0,-0.263507188,0.942370287,0.298228657,0.178591874,-0.713090342,0.663027185,-0.646908652,-0.903411158,0.046009005,-1.393709136
0,-0.838718514,1.596573708,1.047625764,0.276961316,0.038722334,1.240933472,-0.97485292,0.030439452,-0.034960706,-0.544425233
0,-0.958640571,0.575262282,0.881319698,0.033166562,-0.427722416,0.370217114,0.670938203,-0.451285772,-0.060760842,-0.16516199
0,-1.182424728,-0.537410611,1.219894979,0.071873973,-0.38196574,1.042695427,0.004736037,-0.479414745,0.668908195,0.336848809
0,-0.390259168,-0.264808804,0.538566835,-1.840327966,0.225051974,0.481513383,0.561904991,-0.314741743,1.740658245,-0.657211613
0,-0.357446612,-0.129715986,0.546714296,-0.759244778,-0.467965937,-0.489344197,-0.352161941,-0.846441014,-0.341485126,-0.136852687
1,-0.39330982,-1.139498963,0.130030367,0.932266839,-1.120554621,-1.551266783,0.931225476,-0.496814736,0.123731269,0.26099111
0,-0.544907612,-0.101391411,0.769817628,-0.034037189,-0.203503589,0.176047279,0.469691874,-0.534710102,0.757953873,-0.233950961
0,-0.392577203,0.604227014,0.594550647,0.26948131,0.027752871,1.23542055,-0.37287473,-0.09421511,-0.160183924,0.051165564
1,2.390290153,0.387277357,-2.306434025,-0.233126409,1.584686641,-1.560760106,-0.168649097,2.449278581,-0.881923866,1.22826186
0,-1.619105825,-0.525593324,1.494451668,-0.300793106,-0.434092754,1.510950482,0.417424428,-0.616816477,0.888686543,-0.070057007
1,1.064056895,-0.172429959,-1.053994197,0.101972569,0.093624134,-0.983571733,-0.501661786,0.020694309,-1.381174259,-0.19909882
0,-0.785109831,-1.420787017,0.54049535,-0.417926658,-1.590991415,-0.835736837,1.066322983,-0.096690646,0.802656525,-0.578533163
1,0.897158434,-0.327447081,-0.757064807,-0.639335724,-0.233467004,-0.179245934,0.458141258,-0.305147748,-0.775783973,-1.672936656
1,-0.086325157,1.212418214,0.289972792,-0.568212133,0.002846996,0.088406678,-1.31924408,-0.114091448,0.031109466,-0.43961353
