batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
2,0,1.65439616,0.607557379,-0.408855128,0.183207717,-0.70618996,-0.437216709,-0.856863933,1.028086965,1.283178738,0.924078488
2,0,-0.929071211,-0.581628947,-1.311753548,0.723834007,-0.353708703,-0.351266427,-0.198763836,0.681970269,-3.457328962,0.836993604
2,0,0.512427295,-0.629512791,-0.224693938,-0.731040646,-0.373654482,-0.270440887,1.268170501,0.607529005,0.213719214,0.190050433
2,0,-1.042002946,-0.530823837,0.744994028,0.549945563,1.609227698,-0.132697852,0.224669524,-1.0017238,0.918115597,0.81060387
2,0,-0.612339128,0.646101012,-0.76294775,-0.505837988,-0.754083502,0.172357352,0.114985703,0.428035491,-1.389430057,0.479901763
1,0,-0.796472166,-0.587167879,0.816715877,-1.474825448,1.735777984,-0.006200041,1.136692381,-1.2113008,0.62068708,0.195521192
1,0,-0.384416123,-1.173375348,2.211941904,-1.265673246,2.185774009,0.664396762,0.986137048,-1.927895788,0.163331294,-0.82199009
2,1,-0.302506981,-0.810072756,-1.098132732,0.37853704,0.726483502,-0.380949954,0.256713268,0.112621387,-0.154319239,-0.175590991
2,1,0.82261343,-1.037938335,-0.855948693,-0.025216507,-0.19123806,-0.530655986,-0.255568034,-0.046098162,-0.071753109,1.247884888
2,1,0.032005219,-0.405502565,0.327298798,-0.312923295,-0.30476016,-0.430774117,-0.644446175,-0.781330813,0.193242326,0.733822152
2,1,0.080467255,-0.74400322,-1.107069153,1.075384271,-2.115682747,-0.53092949,-0.667495342,1.172027364,-1.388213815,-1.647545489
2,1,0.595077624,-0.179280421,1.086137463,-1.253900794,1.721311104,-0.543395364,0.373555064,-0.886514207,0.898886559,-1.250898629
2,0,-0.764695073,0.518539634,-0.164493563,-0.795994026,-0.183027156,-0.254732233,-0.156079536,-0.33672807,0.432866645,1.656535632
2,0,-0.403467501,-0.659264147,-0.206491168,-0.666180117,-0.597264341,-0.470859748,2.958674912,0.564687087,-1.579448454,0.11764099
2,0,-0.731825094,-0.223361918,0.336387028,-0.808368655,-0.196741111,-0.151701813,0.517045898,-0.312015847,-0.631565238,-0.797817102
2,0,-0.693430668,-1.064742534,-0.65429062,-0.2132474,0.169566888,-0.33840748,1.577879931,-0.324790343,0.493789722,-0.328080418
2,1,1.384927692,0.894571921,-0.527990457,2.028237264,1.098467151,-0.477221412,-1.828979713,0.524729656,-0.25739425,1.142078543
