batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,0.449864296,-1.5681053,-1.942699444,0.052458758,-0.798983301,-0.254786144,0.486784437,1.425523329,-0.290059473,-0.300277364
1,0,-0.319942547,2.859383827,-0.000621966,0.771486684,-0.102622342,-0.595701495,-1.096760578,1.186043113,-1.392353048,-0.711227777
1,0,0.08259607,-0.469788269,-0.968592603,0.749223201,-0.621488903,-0.364914477,0.648657939,1.233880507,-0.824362101,-0.646950229
1,0,-0.262774466,-1.583407852,-0.453103108,0.103577656,-0.641505983,1.193704083,1.590906994,0.756304596,0.11225575,-0.298148994
1,1,-0.906299895,1.143596462,1.018411494,-0.132669994,-0.071462776,-0.118654169,-0.499670673,-0.126306166,-0.749196495,0.409535744
1,1,-0.075924236,1.208317949,0.264225576,0.277868762,-0.105748619,-0.743597021,-1.112081311,-0.596088844,-1.160837291,-0.495440245
1,1,-0.258548628,1.399179772,-0.421026283,0.385908857,-0.663012173,-0.877422927,0.251347676,1.261324663,-0.831282998,-0.178429678
1,1,-0.223604137,0.330421165,0.523761835,0.465328332,0.260657826,1.18612515,-0.02160586,-0.731915242,0.392425142,0.424654214
1,1,-0.454312378,0.65139535,0.50586814,0.216465037,0.515414296,0.045254779,-0.784691443,0.534363356,-1.115706648,2.053153478
1,1,-0.157275267,1.91246392,-0.399451872,0.482658198,-0.426214273,-0.06308459,-0.578079925,0.969453278,-0.892296266,-0.164589489
1,1,0.473249055,0.266372275,-0.169554792,-0.059867834,0.218000009,0.027722945,-0.486022165,-0.342981927,-0.262392511,0.310065945
1,1,0.770718848,1.009597282,-0.63792974,0.20717812,0.143763609,-0.439768749,-0.88526883,-0.239990637,-1.169649651,0.750572477
2,0,-0.524484029,0.647668561,0.727069027,0.204637586,0.18573395,1.519977585,-0.706093997,-0.508969641,0.192746475,-0.959500854
2,0,-0.987296396,0.317005463,0.865568465,-0.092030588,-0.398675772,2.249958643,-0.314512426,-0.275699885,0.175108745,-0.684043491
2,0,-0.738497844,0.155243998,0.916969426,-0.2353645,-0.107063455,2.58611212,0.218619943,-0.073063382,0.351656903,1.289487462
2,0,-0.737128893,0.606226521,0.335083395,0.343164648,-1.047839787,-0.70485705,0.557061145,0.069354237,0.081765667,-1.695321875
1,0,-1.182424728,-0.537410611,1.219894979,0.071873973,-0.38196574,1.042695427,0.004736037,-0.479414745,0.668908195,0.336848809
1,0,-0.654843282,0.948485758,0.756834281,-1.546705862,0.417650589,1.134483823,0.818359466,-0.473914055,0.754027664,2.030788938
1,0,-0.70069783,-0.903272249,0.856807838,0.475049516,-0.132756877,2.107186317,-1.485142238,-0.132421103,1.271518365,1.170065371
1,1,-0.928058893,0.821924512,0.723714137,-0.970481558,-0.322492388,-0.597333308,0.609394035,0.066013021,-0.347253434,-0.990581014
1,1,-0.44261496,0.773849448,0.537784807,0.073569279,-0.16199044,1.820148584,0.103162688,0.514074312,-0.251979,-0.62730623
1,1,1.200387532,0.809876973,-1.215090753,0.212002433,0.168776058,-0.995261469,-2.22531872,-0.31986907,-1.443846032,0.589195891
2,0,-0.815395866,0.979421514,0.858324846,-0.169754363,-0.347437836,-0.32586414,0.643157167,-0.865897557,0.199181627,1.222081251
2,0,0.03683645,-0.345818751,0.036271552,0.809823018,-0.56125132,1.926678678,-0.363251458,0.981972961,1.522108608,0.588592051
2,1,1.425738236,-0.654495861,-1.231592426,0.342693241,0.255957197,-1.306930179,0.118050869,1.349577994,-0.917158292,-0.210475888
