batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,-0.500140566,-0.710489698,0.478855231,0.090603853,-0.368705013,1.252411615,0.080597719,-0.831369935,-0.288989286,-0.335627853
1,0,-0.743251746,1.14142259,0.786876117,0.802920195,-0.390557283,1.4476499,0.289523404,-0.691025273,0.374414848,-1.224440606
1,0,0.93934897,-0.298543462,-0.748282452,0.396230303,0.245955412,-1.945003401,0.603986621,-0.400394217,-1.320865343,-0.098441717
1,1,0.154597841,1.28398817,0.132213624,-0.058044214,0.372584296,0.259423189,-2.776168124,-0.209103416,-0.605041757,0.456087825
1,1,0.501448922,0.186350104,-0.155566593,0.112783509,-0.14734692,0.200719429,-1.383471971,-0.761378258,-0.532450622,0.495913212
1,1,1.182789538,-0.125148919,-1.138899059,0.094944369,0.075700055,-1.006102726,-0.546488006,-0.003921152,-1.238663392,-0.209849252
1,0,0.825842992,0.334030295,-0.668006881,0.590739001,0.138971392,0.51571813,-0.432130792,-0.123380101,0.00817354,0.431476903
1,1,0.130980567,1.488355353,0.288275154,-0.035373416,0.433573711,0.328104935,-2.575296048,-0.141671403,-0.684383411,0.011155709
2,1,1.442688666,-1.635466277,-1.203118159,-0.77352304,1.501528708,-0.797182646,0.115604411,1.737012091,-0.480404411,-0.123979884
2,0,-0.790810004,0.27817567,0.833812704,-0.451940995,-0.27602341,-0.403826684,-0.636368727,-0.694500559,-0.36942585,-0.799764118
2,1,-0.419529305,0.731375271,-0.071670166,0.725847714,-0.640133093,-0.20059739,1.020534405,0.800697995,-0.36942585,-0.235720194
2,1,-0.441995577,-1.294006903,0.176952603,1.639657432,-0.977359482,-1.519596412,0.858243352,-0.434592767,0.151074757,0.26362871
1,0,-0.646083384,0.474100974,0.667130117,0.588818748,-0.421492947,-0.053844004,1.731782744,-0.100419146,0.926631659,-0.680210401
1,0,-1.101216569,-0.677916521,0.953323229,-1.115227402,-1.07342753,1.099037586,1.389068769,-0.574083106,2.051023984,-1.137927026
1,0,0.235776007,-1.637675082,-0.253767394,-0.650689576,-0.887958794,-0.610374105,1.011304916,-0.328241063,0.110875065,-1.244911814
1,0,-0.66315274,-0.251884629,0.599303355,0.204895732,-0.529835691,0.187528834,0.149295139,-0.481128022,0.414926499,-0.211072124
1,0,-0.746133616,-0.214155693,0.642945472,0.220068452,-0.907930981,1.477937211,0.681166431,-0.523463651,0.640347273,-0.193617467
1,1,0.196930286,0.920817335,-0.021379604,0.200551659,0.109162233,-0.228496785,-1.400909999,-0.554393747,-0.641441549,0.252746258
1,1,1.023211333,-0.243476955,-0.66117129,0.171163024,-0.046087332,-1.176009545,0.298571746,-0.028521496,-0.657775273,1.08078076
1,1,0.912921893,1.576834508,-0.778880257,0.014387464,0.770411079,-0.333823347,-1.613652774,-0.573833591,-1.299922366,0.52966333
1,1,-0.377313542,0.55882878,0.462855705,-0.100957144,0.401850172,-0.747606901,-0.50415068,-0.094279924,-0.633216937,0.448982902
1,1,1.003415449,0.953790798,-0.813162678,-0.0390683,0.831120764,-0.124505481,-1.621627306,-0.573472931,-0.871770043,0.288000494
1,0,-0.289735733,0.104121329,-0.414414907,0.258642546,-1.363283577,-1.144795744,0.248121004,1.13137295,-1.211364531,0.799342819
1,0,-1.392302998,1.11546902,1.244995441,0.28351945,-0.16140581,0.065058846,0.971771154,-0.201670329,-0.105839136,1.88845586
1,0,-0.656263307,0.105523682,-0.104393002,-9.041101381,-2.3068079,-1.084377559,1.590533662,0.560931202,5.220897522,-1.389369547
1,0,-0.048747955,-2.547796927,-1.060110376,-0.785289308,0.130142402,-2.305989993,0.943176268,-1.872882491,2.593817238,0.760740935
1,0,-0.862254046,-1.099836612,0.733449496,-0.246633556,-1.174035597,0.575620294,0.503660919,-2.590404036,1.785484832,-1.334371527
1,1,-0.95534646,1.168601769,1.07820365,0.436333418,-0.060102591,1.292036217,-0.740427916,-0.606671216,0.144120997,0.79499871
1,1,0.033208325,-0.343308014,-0.056902054,0.021001096,-0.735274651,-0.391564123,0.412653602,-0.378262156,-0.170255721,0.162731168
1,1,1.234259994,-0.076531264,-0.924845903,-0.370710381,0.305023271,-0.661650157,-0.267443317,-0.705540787,-0.657475293,-1.02112165
1,0,-0.158918985,0.227338988,-0.200195359,0.233979016,-0.662461572,0.584004413,0.27719964,1.208130021,-0.284571524,-0.854051578
1,1,0.884794981,-0.724252437,-0.805132012,0.257978432,0.68616916,-1.251857931,0.573314685,1.042882602,-0.222427602,1.059848876
1,1,0.484956093,0.571594133,-0.353774717,-0.140897014,-1.258443906,-0.042007006,0.061411969,1.194561107,-0.463148921,-1.837902506
1,0,-0.59084123,-0.531962447,0.163991968,-0.058481239,-0.22915535,0.56715473,0.678444245,1.095766365,-0.518422883,0.126882798
1,0,0.542524549,-1.424454419,-2.049451934,0.055616372,-0.931528017,-0.26780159,0.524231796,1.53065264,-0.264856708,-0.311901756
1,0,-0.259960487,2.697321475,-0.059631083,0.626728297,-0.145746633,-0.613168176,-1.191120001,1.269054924,-1.248640326,-0.726401879
1,0,0.159665838,-0.401974966,-1.051397981,0.609044783,-0.731241381,-0.379367837,0.699578881,1.321310401,-0.741715309,-0.661569114
1,0,-0.200365629,-1.438700347,-0.523235868,0.096219263,-0.753828875,1.199601166,1.720256282,0.799627359,0.094204739,-0.309755002
1,1,-0.871208623,1.100007332,0.984453949,-0.091428317,-0.110585835,-0.129892178,-0.544331163,-0.164498043,-0.674630919,0.404042579
1,1,-0.005583633,1.160259872,0.21172738,0.23465579,-0.149274358,-0.762994732,-1.20771596,-0.677668098,-1.042015326,-0.508750416
1,1,-0.195960405,1.337942897,-0.490370477,0.320470241,-0.778096697,-0.898567965,0.269198395,1.351289197,-0.747892125,-0.189001574
1,1,-0.159532525,0.342980891,0.477643991,0.383551809,0.264182714,1.191923277,-0.0264745,-0.826038916,0.344252516,0.41929164
1,1,-0.400034299,0.641792163,0.459310403,0.185883833,0.551652724,0.036156883,-0.853075711,0.557188454,-1.001736776,2.061857564
1,1,-0.090388004,1.815785342,-0.468265688,0.397316634,-0.510891336,-0.073597042,-0.629266829,1.032461659,-0.802345726,-0.175041836
1,1,0.566901988,0.283354506,-0.232716897,-0.033602772,0.216047163,0.018396141,-0.529546617,-0.401185169,-0.24016428,0.30371358
1,1,0.876999332,0.975260647,-0.712606215,0.178507389,0.132277991,-0.45519946,-0.962024683,-0.288681988,-1.049880251,0.748025121
2,0,-0.566686317,0.673891301,0.755528719,0.343143737,0.18763029,1.501274613,-0.650731745,-0.445711783,0.233407013,-0.942748421
2,0,-1.006623533,0.309789275,0.889745265,-0.185469357,-0.333564922,2.219282809,-0.289845034,-0.2323222,0.212365938,-0.670476687
2,0,-0.770122199,0.131669377,0.939556727,-0.440866428,-0.073495766,2.549922829,0.201496748,-0.046955182,0.422980511,1.280230633
2,0,-0.76882091,0.628258356,0.375664667,0.589975804,-0.912510076,-0.687069158,0.513408598,0.083325043,0.101011548,-1.670059766
