batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
2,0,0.455173398,-0.158738723,-0.401589356,-0.698348681,0.131114836,-0.482256854,0.645863155,0.301168356,-0.301729336,-0.107774798
1,0,-0.930614738,-0.490991984,1.375914186,-0.189898105,1.114377268,0.140026069,0.747987791,-1.536675796,-0.128570878,-1.506629321
1,0,0.888715139,-0.561899767,-0.886328244,-0.435990996,-0.181345033,-0.533665905,1.035344152,1.644642696,-2.753050107,0.86687712
1,0,-0.753954869,-0.728363427,0.804415414,0.036955376,-0.089730959,5.204219541,-1.041824988,-0.450622553,-0.199638272,-1.057445741
2,0,1.768823722,0.621605939,-0.39091444,0.17027933,-0.723127601,-0.482045976,-0.854954712,1.048929727,1.21646521,0.924078488
2,0,-0.900522229,-0.600500294,-1.275104319,0.703902191,-0.385046935,-0.390973621,-0.194418593,0.700791498,-3.440414578,0.836993604
2,0,0.588893989,-0.649709693,-0.210569169,-0.732125597,-0.404177831,-0.30533141,1.277945745,0.625915451,0.16587216,0.190050433
2,0,-1.017207995,-0.548288761,0.73902634,0.532266348,1.497693869,-0.159379793,0.230582147,-0.992736377,0.857842195,0.81060387
2,0,-0.573261465,0.661216565,-0.737670072,-0.509840279,-0.769064456,0.163854699,0.120492321,0.445373585,-1.408995746,0.479901763
1,0,-0.838718514,-0.571691751,0.823864955,-1.4833467,1.850809321,0.013995349,1.132540018,-1.224521787,0.680546527,0.195521192
1,0,-0.436261871,-1.146154559,2.247309704,-1.271261249,2.317403521,0.652111649,0.981932657,-1.940148854,0.214667532,-0.82199009
2,1,-0.253130003,-0.835268049,-1.065909841,0.363078301,0.651014111,-0.422426092,0.262744504,0.128117269,-0.195673679,-0.175590991
2,1,0.909391207,-1.069441566,-0.828743986,-0.035444907,-0.229214016,-0.581053621,-0.251433057,-0.031529299,-0.114564108,1.247884888
2,1,0.092501916,-0.419498256,0.32998598,-0.319424658,-0.338098181,-0.475219448,-0.641750669,-0.771056159,0.145756508,0.733822152
2,1,0.142574908,-0.767369528,-1.074661095,1.050898372,-2.075035682,-0.581343424,-0.664885154,1.193710826,-1.40780096,-1.647545489
2,1,0.674291747,-0.187013668,1.0731011,-1.248212464,1.605198117,-0.594552182,0.380018801,-0.876853889,0.838952379,-1.250898629
2,0,-0.730681965,0.530123941,-0.151616178,-0.796237552,-0.221338568,-0.288686623,-0.151576293,-0.323856664,0.381153583,1.656535632
2,0,-0.357446612,-0.680284648,-0.19274357,-0.66810529,-0.618652129,-0.517693919,2.974707723,0.58282331,-1.595662004,0.11764099
2,0,-0.696719336,-0.232315461,0.338885897,-0.808451877,-0.234492241,-0.179516266,0.524040781,-0.299000106,-0.664500519,-0.797817102
2,0,-0.657048618,-1.096987778,-0.631264377,-0.221039993,0.116850277,-0.377348365,1.588801595,-0.311849213,0.441001908,-0.328080418
2,1,1.490397692,0.916565823,-0.507581221,1.991407833,1.0078004,-0.524434697,-1.830668873,0.542632503,-0.29693033,1.142078543
2,1,2.364177823,1.215803659,0.5491069,0.424712072,-0.448118656,-0.704740068,0.951118377,-0.15605867,0.884941096,-1.227758682
2,0,1.25023416,-0.051685901,-1.222170618,-0.819847259,-0.752554757,-0.544040395,0.56078115,0.989674392,0.789503768,-0.003164133
2,0,-0.825020076,-0.596062769,-0.643634363,-0.630146734,-0.533336126,-0.281799069,-1.687445151,1.318456121,1.245352264,-1.08052956
2,0,-0.865094017,-0.473086354,-0.259668857,-0.635525426,1.524906972,0.48853765,0.670499157,-0.690426161,0.802949902,-0.729987673
