V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.5316601500,-0.7081146328,0.8372094146,0.1104155883,-0.1107274910,-1.1214167525,0.1592887294,-0.8816632655,-0.0372341472,-0.9663350047
0.2445557071,0.8094077723,-0.5936795265,0.1387005655,-1.2167654297,0.2196426133,1.9164612735,-0.3604153164,-0.4655048680,-0.5868549178
0.2498225730,0.9536408702,-1.0630142551,-0.4004862686,-1.6942404766,0.1987073369,1.7739852758,-0.5539261923,0.3334450150,-0.2343792399
0.2531562773,1.0071697505,-0.8107094136,-0.1314395432,-0.6863354852,0.4082629032,0.7427472745,-0.3960716248,0.5173344181,0.2455110489
0.2539605305,0.4011945490,-0.8093211702,-0.9994165686,0.8653288529,0.0879128556,-1.0496066245,-0.7457882841,1.0753586507,0.5501533022
-0.0105693482,1.1215758548,-1.1040962857,-0.3819604358,-0.2651264938,0.5968803523,-0.7064318892,-0.0260046440,0.4925905728,-0.0563953502
-0.0079886679,0.6753388574,-0.5844735001,0.4854012078,0.5153909420,0.6724206695,1.3666657907,-0.3658403479,-0.2371788290,0.8573598917
-0.0059270007,0.7716802228,-0.6296363241,-0.1116380310,1.1646515023,1.1316741419,1.0578681903,-0.8892109735,0.4665886804,-1.7296314384
0.5984280096,0.6040586477,-0.8359419605,-0.3953426776,0.1968191675,-0.3915711386,-0.6337823921,-0.9719712798,0.6575160276,0.7122745081
0.5948342293,0.4248844135,-0.3578210360,-0.2212426394,0.9901450095,-0.3070186731,0.5966636084,-0.6706123043,0.5991328475,0.1437417810
0.4351349172,-1.2643065069,1.2603964697,0.1375471489,-0.6447258349,-1.3647556953,-0.6400424770,-0.2346072150,0.4972224194,-2.4713034801
0.2521541212,0.9460973767,-0.8886911507,-0.3532132349,0.3998995394,0.2272808801,2.5048918795,-0.8621454670,0.3914390725,0.6276512132
0.2520481131,0.0900123636,-0.0244484223,-0.5504813692,-1.5171895860,1.7975420253,-0.0213360958,-0.6279987303,0.3217293523,-0.2782508738
-0.0218620803,-1.1854860849,1.3675607567,0.2746355409,-0.0258861988,-0.9538234187,-1.4588653641,1.6782195612,-0.3804100832,0.0822802006
0.0699416839,-0.6913137656,0.8315317401,-0.1769159573,-0.0919055993,-0.7860177852,0.4925703600,0.0510480584,-1.3288637399,0.3884069423
0.2517144924,0.9350373442,-0.8289475345,-0.1976420627,-0.7007221441,-0.4705750934,1.0952916133,0.2763741514,0.4563417307,-0.9096452462
0.2537976360,0.4043902394,-0.3303663082,0.2339373213,-0.8525733371,-1.2955320967,-0.0087735120,-0.3199414284,0.0643275316,-0.5912270209
0.2543952051,0.4791134680,-0.4617073940,-0.1705593191,0.3966330815,0.2688607038,0.2911487146,-0.3151570718,0.6630273044,0.4215475366
0.2537031052,0.3655406521,-0.6054129594,-0.8456094510,-0.4210835001,0.3791929022,0.4261168069,-0.1743113526,0.6363143097,0.3529279202
0.2479329263,0.9079546011,-0.9471676933,-0.6963105532,-0.9504149414,-0.4059787814,-1.4801967973,-0.5862155769,1.0225279499,0.0927646173
0.1013593757,0.7820821313,-0.6614638910,0.3599981804,0.3327367956,-1.0851307706,-0.6890675805,0.0450898128,0.0676316958,-0.3646770517
-0.0603338096,-2.0780582230,1.8382228133,0.8155544129,-0.4965016016,-1.4837461759,-1.0379593715,0.3331392395,-1.2649620599,-0.5564599036
-0.1907490535,-2.3647537071,2.0628032751,0.4464396120,-1.0722506291,-1.2768698734,-1.4040973427,0.1516773844,-0.0660751927,-1.2681832337
-0.0175250624,0.2511020500,-0.2074138670,-0.9086195026,0.0773018521,-0.6956845194,-0.1883717709,0.0725047049,0.5256882228,-0.1065585709
-0.0170918188,0.6878504996,-0.4761962293,-0.1883785654,-0.0542686094,0.6759050318,0.7425633008,-0.2081411928,0.4600370249,0.4657821317
0.2462934074,0.7905967581,-0.6421304771,-0.1910254932,-0.6693281854,0.4773640873,0.8457794911,-0.1685708173,-0.4518713285,0.0079360131
0.2547797866,0.2509439198,-0.4759168412,-1.2619582727,1.1689817647,0.7251285544,0.3113381560,0.7329856268,1.4311314429,1.6742532905
-0.2762704179,-0.9954120238,1.3575878252,0.1762545730,-0.8332526482,-0.9386700907,1.2087393229,-0.4852125705,-1.3221281028,-0.3940865992
0.5629265861,-0.0653223056,0.1681029726,-0.1724698975,-0.5607393266,-0.1870746516,1.6773963823,-0.3266883337,0.0234977866,-0.4510201303
0.2422856512,-0.2938541817,0.3270101390,-0.1684580459,0.0661847985,-0.8688759745,-0.1874343595,-0.4845562812,0.8123201678,0.0342499551
0.2545676199,-0.1737887580,-0.3859458846,-0.3491415969,1.5719489792,3.1196857835,-0.8153653275,0.7021056896,0.9821340270,2.3979746796
0.2550976769,0.3514564860,-0.5651993880,-0.8177250235,1.3682075768,3.6998648519,1.8663427388,-0.1084172957,-0.0927254322,1.6870625048
0.2543170021,0.8598229359,-1.0984626660,-1.3134099819,1.3154321152,1.4086330870,0.5385943427,-0.0992836781,1.2094435228,1.4685796717
0.2542700622,1.1000438383,-1.1413192890,-0.6853916433,0.1485177403,0.4267204047,0.2207315065,0.0682884373,0.3464290240,0.0433354612
-0.0089430070,0.2834128325,-0.2249243642,-0.4072306716,0.9252697782,0.8892492169,-1.0099948462,-0.1756029172,0.2376752701,-0.4574264065
-0.0284374734,0.6176303869,-0.4220323210,0.3345064336,-0.3271383477,-0.1197992849,2.4957808492,-0.9480081332,-0.2026025608,-0.8344968331
-0.0151312306,0.3899441565,-0.4035006218,-0.2766961410,0.1146978962,0.2599431422,0.0688560995,-0.8296194626,-0.2038317974,-0.3514648361
0.2534387043,1.2188415771,-1.2511367705,-0.3280980283,0.2791206333,0.6901217662,1.3409831745,0.6406627386,-0.1579187352,1.0959915861
-0.0132397645,1.1371975607,-1.0639682261,-0.2835237952,-0.2514645614,0.7543861328,-0.6084143592,-0.2984205943,0.6704185877,-0.3005456406
